Field,Use Case,Equation/Model
Multi-Agent Systems Math,"Swarms, simulations",Distributed optimization
Distributed Systems Theory,Consensus and delay math,Byzantine agreement models
Biostatistics,Medical outcome modeling,Kaplan-Meier estimator
Computational Neuroscience,Neuron firing models,"dV/dt = f(V, I)"
Cognitive Modeling,Human inference emulation,Bayesian cognitive graphs
Neural Manifolds,Latent space math,Topological latent modeling
Quantum Thermodynamics,Entropy at quantum scale,S = −Tr(ρ log ρ)
Radiation Transport Theory,Energy across mediums,Boltzmann eq
Molecular Orbital Theory,Electron interactions,LCAO approximations
Petri Nets Math,Biological and system flows,"Places, transitions, tokens"
Formal Verification Math,Correctness proofs,Model checking algorithms
Proof-Carrying Code Logic,Embedded proof constraints,Hoare logic
Constraint Satisfaction Problems,"Scheduling, allocation",CSP solvers
Logistics Optimization,Supply chain routing,Vehicle Routing Problem (VRP)
Supply Chain Math,End-to-end system models,Inventory balancing
Aerospace Math,Flight dynamics,Six-DOF equations
Orbital Mechanics,Space trajectory,Kepler’s laws
Celestial Mechanics,Planetary motion,n-body Newtonian simulation
Seismological Math,Earthquake waves,Wave propagation PDEs
Climate Modeling,Global systems PDEs,Energy balance models
Oceanographic Math,"Currents, salinity dynamics",Advection–diffusion eq
Acoustics Math,Sound propagation,Wave equation: ∇²p = 1/c² ∂²p/∂t²
Signal Intelligence Math,Waveform analysis,"DFT, Doppler shifts"
Cryptanalysis,Breaking encryption,"Frequency analysis, math attacks"
Side-Channel Analysis Math,Leak-based attacks,Timing/power models
Radar Cross-Section Math,Stealth shaping,RCS integral models
Sonar System Math,Underwater signal modeling,Reverberation equations
Material Science Math,Phase transitions,"Ising model, crystal lattice"
Mechanical Stress Fields,Deformation math,Von Mises stress
Plasma Physics Math,Magnetized particle flows,Vlasov-Maxwell system
Fusion Reactor Math,Tokamak fields,Grad-Shafranov eq
Optics and Photonics,Light control,"Wave optics, Maxwell equations"
Quantum Optics,Photon probability states,Jaynes-Cummings model
